year,species,population
1,African Elephant,500000
1,Black Rhino,15000
1,Giant Panda,3000
1,Grizzly Bear,2000
1,Gray Wolf,250000
1,Sumatran Tiger,1000
1,Mountain Gorilla,2000
1,Humpback Whale,200000
1,African Lion,30000
1,Sea Turtle,5000
2,African Elephant,500000
2,Black Rhino,15000
2,Giant Panda,3000
2,Grizzly Bear,2000
2,Gray Wolf,250000
2,Sumatran Tiger,1000
2,Mountain Gorilla,2000
2,Humpback Whale,200000
2,African Lion,30000
2,Sea Turtle,5000
3,African Elephant,500000
3,Black Rhino,15000
3,Giant Panda,3000
3,Grizzly Bear,2000
3,Gray Wolf,250000
3,Sumatran Tiger,1000
3,Mountain Gorilla,2000
3,Humpback Whale,200000
3,African Lion,30000
3,Sea Turtle,5000
4,African Elephant,500000
4,Black Rhino,15000
4,Giant Panda,3000
4,Grizzly Bear,2000
4,Gray Wolf,250000
4,Sumatran Tiger,1000
4,Mountain Gorilla,2000
4,Humpback Whale,200000
4,African Lion,30000
4,Sea Turtle,5000
5,African Elephant,500000
5,Black Rhino,15000
5,Giant Panda,3000
5,Grizzly Bear,2000
5,Gray Wolf,250000
5,Sumatran Tiger,1000
5,Mountain Gorilla,2000
5,Humpback Whale,200000
5,African Lion,30000
5,Sea Turtle,5000
6,African Elephant,500000
6,Black Rhino,15000
6,Giant Panda,3000
6,Grizzly Bear,2000
6,Gray Wolf,250000
6,Sumatran Tiger,1000
6,Mountain Gorilla,2000
6,Humpback Whale,200000
6,African Lion,30000
6,Sea Turtle,5000
7,African Elephant,500000
7,Black Rhino,15000
7,Giant Panda,3000
7,Grizzly Bear,2000
7,Gray Wolf,250000
7,Sumatran Tiger,1000
7,Mountain Gorilla,2000
7,Humpback Whale,200000
7,African Lion,30000
7,Sea Turtle,5000
8,African Elephant,500000
8,Black Rhino,15000
8,Giant Panda,3000
8,Grizzly Bear,2000
8,Gray Wolf,250000
8,Sumatran Tiger,1000
8,Mountain Gorilla,2000
8,Humpback Whale,200000
8,African Lion,30000
8,Sea Turtle,5000
9,African Elephant,500000
9,Black Rhino,15000
9,Giant Panda,3000
9,Grizzly Bear,2000
9,Gray Wolf,250000
9,Sumatran Tiger,1000
9,Mountain Gorilla,2000
9,Humpback Whale,200000
9,African Lion,30000
9,Sea Turtle,5000
10,African Elephant,500000
10,Black Rhino,15000
10,Giant Panda,3000
10,Grizzly Bear,2000
10,Gray Wolf,250000
10,Sumatran Tiger,1000
10,Mountain Gorilla,2000
10,Humpback Whale,200000
10,African Lion,30000
10,Sea Turtle,5000
